2019-02-14 7:56:45 - PHP Notice:  Undefined variable: file in D:\wamp64\www\opencartOrig\upload\admin\controller\extension\module\pavothemer.php on line 2300
2019-02-14 7:56:46 - PHP Notice:  Undefined variable: file in D:\wamp64\www\opencartOrig\upload\admin\controller\extension\module\pavothemer.php on line 2300
2019-02-14 7:56:51 - PHP Notice:  Undefined index: banner_id in D:\wamp64\www\opencartOrig\upload\catalog\controller\extension\module\carousel.php on line 15
2019-02-14 7:57:03 - PHP Notice:  Undefined index: banner_id in D:\wamp64\www\opencartOrig\upload\catalog\controller\extension\module\carousel.php on line 15
2019-02-14 7:57:14 - PHP Notice:  Undefined index: banner_id in D:\wamp64\www\opencartOrig\upload\catalog\controller\extension\module\carousel.php on line 15
2019-02-14 7:57:20 - PHP Notice:  Undefined index: banner_id in D:\wamp64\www\opencartOrig\upload\catalog\controller\extension\module\carousel.php on line 15
2019-02-14 7:57:32 - PHP Notice:  Undefined index: banner_id in D:\wamp64\www\opencartOrig\upload\catalog\controller\extension\module\carousel.php on line 15
2019-02-15 6:01:03 - PHP Notice:  Undefined index: banner_id in D:\wamp64\www\opencartOrig\upload\catalog\controller\extension\module\carousel.php on line 15
2019-02-15 7:06:31 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 7:06:32 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 8:29:59 - PHP Notice:  Undefined index: token in D:\wamp64\www\opencartOrig\upload\admin\controller\extension\payment\pumcp.php on line 68
2019-02-15 8:29:59 - PHP Notice:  Undefined index: token in D:\wamp64\www\opencartOrig\upload\admin\controller\extension\payment\pumcp.php on line 74
2019-02-15 8:29:59 - PHP Notice:  Undefined index: token in D:\wamp64\www\opencartOrig\upload\admin\controller\extension\payment\pumcp.php on line 80
2019-02-15 8:29:59 - PHP Notice:  Undefined index: token in D:\wamp64\www\opencartOrig\upload\admin\controller\extension\payment\pumcp.php on line 84
2019-02-15 8:29:59 - PHP Notice:  Undefined index: token in D:\wamp64\www\opencartOrig\upload\admin\controller\extension\payment\pumcp.php on line 86
2019-02-15 8:57:33 - PHP Warning:  require_once(D:/wamp64/www/opencartOrig/upload/system/encdec_paytm.php): failed to open stream: No such file or directory in D:\wamp64\www\opencartOrig\upload\admin\controller\extension\payment\paytm.php on line 12
2019-02-15 9:19:49 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 9:19:50 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 9:21:18 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 9:21:19 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 9:22:49 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 9:22:50 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 9:42:34 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 9:42:35 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 9:48:16 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 9:48:17 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 9:50:07 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
2019-02-15 9:50:08 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\wamp64\www\opencartOrig\upload\system\library\mail\mail.php on line 77
